,b1,b2,b3,b4,b5
575,570.0,513.0,459.0,620.0,415.0
576,572.0,513.0,457.0,618.0,416.0
577,572.0,513.0,459.0,619.0,417.0
578,570.0,514.0,458.0,619.0,415.0
579,570.0,513.0,457.0,618.0,416.0
580,570.0,513.0,458.0,619.0,415.0
581,570.0,513.0,457.0,618.0,415.0
582,570.0,513.0,457.0,619.0,415.0
583,570.0,513.0,459.0,620.0,415.0
584,570.0,514.0,457.0,618.0,416.0
585,571.0,513.0,457.0,619.0,415.0
586,570.0,514.0,458.0,619.0,415.0
587,570.0,513.0,457.0,619.0,415.0
588,570.0,513.0,457.0,618.0,415.0
589,570.0,513.0,457.0,618.0,415.0
590,571.0,513.0,457.0,618.0,415.0
591,570.0,513.0,459.0,621.0,415.0
592,571.0,513.0,457.0,619.0,415.0
593,570.0,513.0,458.0,618.0,415.0
594,570.0,514.0,457.0,618.0,415.0
595,570.0,514.0,457.0,618.0,415.0
596,570.0,513.0,457.0,619.0,415.0
597,571.0,513.0,457.0,618.0,415.0
598,572.0,513.0,457.0,618.0,416.0
599,570.0,513.0,457.0,618.0,416.0
600,570.0,513.0,457.0,618.0,415.0
601,570.0,513.0,457.0,619.0,415.0
602,570.0,513.0,457.0,619.0,415.0
603,570.0,513.0,457.0,618.0,416.0
604,570.0,513.0,457.0,619.0,416.0
605,570.0,513.0,457.0,618.0,415.0
606,570.0,513.0,457.0,618.0,415.0
607,571.0,513.0,457.0,619.0,415.0
608,571.0,513.0,457.0,618.0,415.0
609,571.0,513.0,458.0,618.0,415.0
610,570.0,513.0,457.0,619.0,415.0
611,570.0,514.0,457.0,619.0,415.0
612,571.0,513.0,457.0,619.0,415.0
613,570.0,513.0,457.0,618.0,415.0
614,570.0,514.0,458.0,618.0,415.0
615,570.0,513.0,457.0,618.0,415.0
616,571.0,514.0,457.0,618.0,415.0
617,570.0,514.0,457.0,619.0,415.0
618,570.0,514.0,457.0,618.0,416.0
619,570.0,513.0,457.0,618.0,415.0
620,570.0,513.0,457.0,618.0,415.0
621,570.0,513.0,457.0,618.0,415.0
622,571.0,515.0,457.0,618.0,415.0
623,570.0,513.0,457.0,618.0,415.0
624,571.0,513.0,457.0,618.0,415.0
625,570.0,513.0,457.0,618.0,415.0
626,570.0,513.0,457.0,618.0,415.0
627,570.0,513.0,457.0,618.0,415.0
628,571.0,513.0,457.0,619.0,415.0
629,570.0,513.0,457.0,618.0,415.0
630,571.0,514.0,457.0,618.0,415.0
631,570.0,514.0,457.0,621.0,415.0
