,DeployT,Timeg
633,2015-01-01 12:00:00,114
634,2015-01-01 12:00:00,93
635,2015-01-01 12:00:00,51
636,2015-01-01 12:00:00,104
637,2015-01-01 12:00:00,154
638,2015-01-01 12:00:00,166
639,2015-01-01 12:00:00,39
640,2015-01-01 12:00:00,95
641,2015-01-01 12:00:00,141
642,2015-01-01 12:00:00,168
643,2015-01-01 12:00:00,203
644,2015-01-01 12:00:00,103
645,2015-01-01 12:00:00,62
646,2015-01-01 12:00:00,53
647,2015-01-01 12:00:00,104
648,2015-01-01 12:00:00,55
649,2015-01-01 12:00:00,40
650,2015-01-01 12:00:00,81
651,2015-01-01 12:00:00,0
652,2015-01-01 12:00:00,94
653,2015-01-01 12:00:00,143
654,2015-01-01 12:00:00,114
655,2015-01-01 12:00:00,146
656,2015-01-01 12:00:00,49
657,2015-01-01 12:00:00,128
658,2015-01-01 12:00:00,63
659,2015-01-01 12:00:00,67
660,2015-01-01 12:00:00,110
661,2015-01-01 12:00:00,88
662,2015-01-01 12:00:00,127
663,2015-01-01 12:00:00,94
664,2015-01-01 12:00:00,99
665,2015-01-01 12:00:00,0
666,2015-01-01 12:00:00,51
667,2015-01-01 12:00:00,49
668,2015-01-01 12:00:00,98
669,2015-01-01 12:00:00,62
670,2015-01-01 12:00:00,97
671,2015-01-01 12:00:00,47
672,2015-01-01 12:00:00,129
673,2015-01-01 12:00:00,106
674,2015-01-01 12:00:00,206
675,2015-01-01 12:00:00,178
676,2015-01-01 12:00:00,49
677,2015-01-01 12:00:00,53
678,2015-01-01 12:00:00,95
679,2015-01-01 12:00:00,0
680,2015-01-01 12:00:00,57
681,2015-01-01 12:00:00,152
682,2015-01-01 12:00:00,218
683,2015-01-01 12:00:00,381
684,2015-01-01 12:00:00,54
685,2015-01-01 12:00:00,159
686,2015-01-01 12:00:00,0
687,2015-01-01 12:00:00,236
688,2015-01-01 12:00:00,97
689,2015-01-01 12:00:00,54
690,2015-01-01 12:00:00,121
691,2015-01-01 12:00:00,199
692,2015-01-01 12:00:00,133
693,2015-01-01 12:00:00,493
694,2015-01-01 12:00:00,0
695,2015-01-01 12:00:00,55
696,2015-01-01 12:00:00,49
697,2015-01-01 12:00:00,59
698,2015-01-01 12:00:00,332
699,2015-01-01 12:00:00,139
700,2015-01-01 12:00:00,148
701,2015-01-01 12:00:00,233
702,2015-01-01 12:00:00,94
703,2015-01-01 12:00:00,202
704,2015-01-01 12:00:00,192
705,2015-01-01 12:00:00,208
706,2015-01-01 12:00:00,207
707,2015-01-01 12:00:00,85
708,2015-01-01 12:00:00,202
709,2015-01-01 12:00:00,175
710,2015-01-01 12:00:00,633
711,2015-01-01 12:00:00,101
712,2015-01-01 12:00:00,297
713,2015-01-01 12:00:00,198
714,2015-01-01 12:00:00,539
715,2015-01-01 12:00:00,376
716,2015-01-01 12:00:00,189
717,2015-01-01 12:00:00,388
718,2015-01-01 12:00:00,299
719,2015-01-01 12:00:00,452
720,2015-01-01 12:00:00,94
721,2015-01-01 12:00:00,95
722,2015-01-01 12:00:00,319
723,2015-01-01 12:00:00,103
724,2015-01-01 12:00:00,227
725,2015-01-01 12:00:00,539
726,2015-01-01 12:00:00,98
727,2015-01-01 12:00:00,122
728,2015-01-01 12:00:00,105
729,2015-01-01 12:00:00,142
730,2015-01-01 12:00:00,476
731,2015-01-01 12:00:00,173
732,2015-01-01 12:00:00,160
733,2015-01-01 12:00:00,167
734,2015-01-01 12:00:00,209
735,2015-01-01 12:00:00,0
736,2015-01-01 12:00:00,170
737,2015-01-01 12:00:00,108
738,2015-01-01 12:00:00,80
739,2015-01-01 12:00:00,134
740,2015-01-01 12:00:00,166
741,2015-01-01 12:00:00,432
742,2015-01-01 12:00:00,208
743,2015-01-01 12:00:00,187
744,2015-01-01 12:00:00,460
745,2015-01-01 12:00:00,51
746,2015-01-01 12:00:00,224
747,2015-01-01 12:00:00,50
748,2015-01-01 12:00:00,650
749,2015-01-01 12:00:00,243
750,2015-01-01 12:00:00,0
751,2015-01-01 12:00:00,89
752,2015-01-01 12:00:00,282
753,2015-01-01 12:00:00,152
754,2015-01-01 12:00:00,102
755,2015-01-01 12:00:00,395
756,2015-01-01 12:00:00,109
757,2015-01-01 12:00:00,105
758,2015-01-01 12:00:00,104
759,2015-01-01 12:00:00,148
760,2015-01-01 12:00:00,129
761,2015-01-01 12:00:00,169
762,2015-01-01 12:00:00,191
763,2015-01-01 12:00:00,410
764,2015-01-01 12:00:00,149
765,2015-01-01 12:00:00,203
766,2015-01-01 12:00:00,99
767,2015-01-01 12:00:00,99
768,2015-01-01 12:00:00,114
769,2015-01-01 12:00:00,87
770,2015-01-01 12:00:00,136
771,2015-01-01 12:00:00,128
772,2015-01-01 12:00:00,228
773,2015-01-01 12:00:00,105
774,2015-01-01 12:00:00,116
775,2015-01-01 12:00:00,191
776,2015-01-01 12:00:00,224
777,2015-01-01 12:00:00,205
778,2015-01-01 12:00:00,81
779,2015-01-01 12:00:00,190
780,2015-01-01 12:00:00,91
781,2015-01-01 12:00:00,133
782,2015-01-01 12:00:00,79
783,2015-01-01 12:00:00,106
784,2015-01-01 12:00:00,104
785,2015-01-01 12:00:00,460
786,2015-01-01 12:00:00,196
787,2015-01-01 12:00:00,114
788,2015-01-01 12:00:00,97
789,2015-01-01 12:00:00,129
790,2015-01-01 12:00:00,111
791,2015-01-01 12:00:00,69
792,2015-01-01 12:00:00,0
793,2015-01-01 12:00:00,103
794,2015-01-01 12:00:00,218
795,2015-01-01 12:00:00,0
796,2015-01-01 12:00:00,110
797,2015-01-01 12:00:00,206
798,2015-01-01 12:00:00,132
799,2015-01-01 12:00:00,127
800,2015-01-01 12:00:00,85
801,2015-01-01 12:00:00,104
802,2015-01-01 12:00:00,129
803,2015-01-01 12:00:00,135
804,2015-01-01 12:00:00,119
805,2015-01-01 12:00:00,103
806,2015-01-01 12:00:00,441
807,2015-01-01 12:00:00,117
808,2015-01-01 12:00:00,107
809,2015-01-01 12:00:00,365
810,2015-01-01 12:00:00,75
811,2015-01-01 12:00:00,100
812,2015-01-01 12:00:00,64
813,2015-01-01 12:00:00,186
814,2015-01-01 12:00:00,100
815,2015-01-01 12:00:00,56
816,2015-01-01 12:00:00,110
817,2015-01-01 12:00:00,116
818,2015-01-01 12:00:00,85
819,2015-01-01 12:00:00,82
