,Phy,HBac
2024-06-29,3190647.3420255464,3021146.172299858
2024-06-30,2800355.6847950183,2994942.4134999765
2024-07-01,3577848.3145658337,2972082.1266745836
2024-07-02,3638555.627339699,2954588.593617712
2024-07-03,3784509.0289754653,2940043.66940082
2024-07-04,3896926.9077297114,2929804.892149534
2024-07-05,4023550.8934223717,2925720.2786814035
2024-07-06,4148157.62562808,2925905.7574879397
2024-07-07,4234780.562648626,2931751.769206543
2024-07-08,4279852.977894934,2946991.395041179
2024-07-09,4304446.649154696,2965554.330145923
2024-07-10,4286038.105226907,2985108.606598885
2024-07-11,4369028.798351267,3009418.6583197415
2024-07-12,4573357.362706045,3035290.4325973596
2024-07-13,4743473.292357114,3058271.7991459193
2024-07-14,4802594.632787702,3077612.18629344
2024-07-15,4558264.760609683,3098789.1150323725
2024-07-16,4432609.302824208,3119447.927893475
2024-07-17,4223235.11020845,3134696.293142763
2024-07-18,3968641.845371023,3140127.7290313104
2024-07-19,3966084.698775973,3148744.5215932704
2024-07-20,3934920.9019361213,3151673.3614911432
2024-07-21,3413055.784817588,3137090.9007409043
2024-07-22,3424390.528650126,3113902.5222507888
2024-07-23,3474208.9396954756,3096984.5553564527
2024-07-24,3364635.561608632,3081765.86197504
2024-07-25,3294091.945446594,3063263.8559534443
2024-07-26,3453609.615137305,3048004.0597783322
2024-07-27,3441102.6836138116,3033216.38813507
2024-07-28,3399101.406559214,3023474.2755294093
2024-07-29,2271715.230466519,3018198.769788214
2024-07-30,1962140.5011869688,2997644.0929324594
2024-07-31,2488740.5254263543,2973694.9769801423
2024-08-01,2815037.708010008,2956526.003977022
2024-08-02,2844283.702442042,2936429.226759281
2024-08-03,2827398.110604817,2913006.248503069
2024-08-04,2858233.17238174,2891623.1671055793
2024-08-05,2884121.238917467,2875434.7912839795
2024-08-06,2858859.4649633267,2860939.624558751
2024-08-07,2911390.177503171,2848813.349200584
2024-08-08,2989962.2052363255,2838896.400942546
2024-08-09,3069529.9003668255,2829315.9099633074
2024-08-10,3081203.6217406522,2821144.686247273
2024-08-11,3003104.2693036427,2815676.704336561
2024-08-12,2911953.644076101,2808732.9467546763
