,b1
1467,4667.0
1468,4667.0
1469,4667.0
1470,4667.0
1471,4667.0
1472,4667.0
1473,4667.0
1474,4667.0
1475,4667.0
1476,4667.0
1477,4667.0
1478,4667.0
1479,4667.0
1480,4667.0
1481,4667.0
1482,4667.0
1483,4667.0
1484,4667.0
1485,4667.0
1486,4667.0
1487,4667.0
1488,4667.0
1489,4667.0
1490,4667.0
1491,4667.0
1492,4667.0
1493,4667.0
1494,4667.0
1495,4667.0
1496,4667.0
1497,4667.0
1498,4667.0
1499,4667.0
1500,4667.0
1501,4667.0
1502,4667.0
1503,4667.0
1504,4667.0
1505,4667.0
1506,4667.0
1507,4667.0
1508,4667.0
1509,4667.0
1510,4667.0
1511,4667.0
1512,4667.0
1513,4667.0
1514,4667.0
1515,4667.0
1516,4667.0
1517,4667.0
1518,4667.0
1519,4667.0
1520,4667.0
1521,4667.0
1522,4667.0
1523,4667.0
1524,4667.0
1525,4667.0
1526,4667.0
1527,4667.0
1528,4667.0
1529,4667.0
1530,4667.0
1531,4667.0
1532,4667.0
1533,4667.0
1534,4667.0
1535,4667.0
1536,4667.0
1537,4667.0
1538,4667.0
1539,4667.0
1540,4667.0
1541,4667.0
1542,4667.0
1543,4667.0
1544,4667.0
1545,4667.0
1546,4667.0
1547,4667.0
1548,4667.0
1549,4667.0
1550,4667.0
1551,4667.0
1552,4667.0
1553,4667.0
1554,4667.0
1555,4667.0
1556,4667.0
1557,4667.0
1558,4667.0
1559,4667.0
1560,4667.0
1561,4667.0
1562,4667.0
1563,4667.0
1564,4667.0
1565,4667.0
1566,4667.0
1567,4667.0
1568,4667.0
1569,4667.0
1570,4667.0
1571,4667.0
1572,4667.0
1573,4667.0
1574,4667.0
1575,4667.0
1576,4667.0
1577,4667.0
1578,4667.0
1579,4667.0
1580,4667.0
1581,4667.0
1582,4667.0
1583,4667.0
1584,4667.0
1585,4667.0
1586,4667.0
1587,4667.0
1588,4667.0
1589,4667.0
1590,4667.0
1591,4667.0
1592,4667.0
1593,4667.0
1594,4667.0
1595,4667.0
1596,4667.0
1597,4667.0
1598,4667.0
1599,4667.0
1600,4667.0
1601,4667.0
1602,4667.0
1603,4667.0
1604,4667.0
1605,4667.0
1606,4667.0
1607,4667.0
1608,4667.0
1609,4667.0
1610,4667.0
1611,4667.0
1612,4667.0
1613,4667.0
1614,4667.0
1615,4667.0
1616,4667.0
1617,4667.0
1618,4667.0
1619,4667.0
1620,4667.0
1621,4667.0
1622,4667.0
1623,4667.0
1624,4667.0
1625,4667.0
1626,4667.0
1627,4667.0
1628,4667.0
1629,4667.0
1630,4667.0
1631,4667.0
1632,4667.0
1633,4667.0
1634,4667.0
1635,4667.0
1636,4667.0
1637,4667.0
1638,4667.0
1639,4667.0
1640,4667.0
1641,4667.0
1642,4667.0
1643,4667.0
1644,4667.0
1645,4667.0
1646,4667.0
1647,4667.0
1648,4667.0
1649,4667.0
1650,4667.0
1651,4667.0
1652,4667.0
1653,4667.0
1654,4667.0
1655,4667.0
1656,4667.0
1657,4667.0
1658,4667.0
1659,4667.0
1660,4667.0
1661,4667.0
1662,4667.0
1663,4667.0
1664,4667.0
1665,4667.0
1666,4667.0
1667,4667.0
1668,4667.0
1669,4667.0
1670,4667.0
1671,4667.0
1672,4667.0
1673,4667.0
1674,4667.0
1675,4667.0
1676,4667.0
1677,4667.0
1678,4667.0
1679,4667.0
1680,4667.0
1681,4667.0
1682,4667.0
1683,4667.0
1684,4667.0
1685,4667.0
1686,4667.0
1687,4667.0
1688,4667.0
1689,4667.0
1690,4667.0
1691,4667.0
1692,4667.0
1693,4667.0
1694,4667.0
1695,4667.0
1696,4667.0
1697,4667.0
1698,4667.0
1699,4667.0
1700,4667.0
1701,4667.0
1702,4667.0
1703,4667.0
1704,4667.0
1705,4667.0
